企業名,電話番号,メールアドレス,都道府県,市町村区,番地,建物名,URL,SSL証明書
金目鯛しゃぶしゃぶ 城ヶ崎 おかもと 恵比寿本店,050-5485-0715,,東京都,渋谷区恵比寿,2-9-1,,#,False
新橋 炭の屋 でですけ,050-5484-7101,mailto:suminoyadedesuke@gmail.com,東京都,港区新橋,3-16-4,西原ビル1F,#,False
菜な 日本橋 コレド室町店,050-5485-1225,,東京都,中央区日本橋室町,2-2-1,コレド室町3F,#,False
梅の花 町田店,050-5485-6867,,東京都,町田市中町,3-1-11,,#,False
深川冨士見,050-5486-0209,mailto:info@f-fujimi.com,東京都,江東区古石場,2-18-5,,#,False
上野市場 本店,050-5485-9980,,東京都,台東区上野,2-5-4,サンシャインビル1F,,
花ごよみ 東京,050-5484-9773,mailto:hanatokyo@ryumeikan.co.jp,東京都,中央区八重洲,1-3-22,ホテル龍名館東京15F,#,False
深大寺 水神苑,042-486-0811,,東京都,調布市深大寺元町,5-10-3,,#,False
新潟・佐渡の旬と地酒 のど黒のあくび 御徒町店,03-6284-4393,,東京都,台東区上野,5-25-8,御徒町グランディアビル1F～B1,,
割烹伊奈喜,050-5486-4127,,東京都,八王子市八日町,5-17,,,
京料理 ぶどう家,050-5488-2019,,東京都,港区新橋,3-10-7,鴨田ビル1F,,
和食 猩々 青山,050-5486-9865,,東京都,港区南青山,2-26-9,,,
ダイナミックキッチン＆バー 響 新宿サザンタワー店,03-5333-5501,mailto:hibiki-shinjukusazan@dynac.co.jp,東京都,渋谷区代々木,2-2-1,小田急サザンタワー4F,#,False
天ぷら新宿つな八 つのはず庵,050-5493-5065,,東京都,新宿区新宿,3-32-10,T&Tビル5F,,
焼鳥・だご汁 さつま屋 とうきょうスカイツリー駅前店,050-5484-7801,,東京都,墨田区押上,2-1-1,都営押上二丁目アパート111,,
日本酒と串焼き みなと屋 第1 八重洲,050-5492-1584,,東京都,中央区八重洲,1-4-4,,,
清流 初つぼみ 渋谷店,050-5484-1786,,東京都,渋谷区道玄坂,1-9-5,渋谷スクエアビルA棟B1,#,False
魚や ‐TOTOYA‐ 池袋店,050-5484-5464,,東京都,豊島区西池袋,1-37-12,ロサ会館4F,,
前川,050-5485-1187,,東京都,台東区駒形,2-1-29,,#,False
三代目土信田商店,090-7194-6713,,東京都,千代田区飯田橋,1-7-8,サンハイツ九段1F,,
あえん 新宿伊勢丹会館店,050-5484-9247,,東京都,新宿区新宿,3-15-17,伊勢丹会館4F,#,False
和風肉ビストロ 空楽,050-5484-4771,,東京都,羽村市小作台,1-15-2,ベルベデール下田ビル2F,#,False
すし屋 銀蔵 神谷町城山トラストタワー店,050-5487-2421,,東京都,港区虎ノ門,4-3-1,城山トラストタワー2F,#,False
鉄板焼き お好み焼き かしわ 二子玉川ライズS．C．店,050-5485-3477,mailto:kashiwa-rise@salt-inc.co.jp,東京都,世田谷区玉川,1-14-1,SC・テラスマーケット1F,#,False
華屋与兵衛 東久留米店,050-5494-2780,,東京都,東久留米市中央町,1-14-2,,,
個室和食 まつもと,050-5494-5576,,東京都,港区港南,2-16-1,品川イーストワンタワー1F,,
イカセンター新宿総本店,050-5487-1500,,東京都,新宿区西新宿,7-10-13,ガイアビル5F,#,False
かに道楽練馬谷原店,050-5488-8370,,東京都,練馬区谷原,2-5-3,,,
春秋 ツギハギ 日比谷,050-5485-4379,,東京都,千代田区有楽町,1-1-1,日生劇場B1,#,False
北海道はでっかい道 オホーツクの恵み 湧別町 市ヶ谷店,050-5485-5248,,東京都,千代田区五番町,5-1,市ヶ谷第8田中ビル2F,#,False
割烹 嶋村,03-3271-9963,,東京都,中央区八重洲,1-4-10,東京建物八重洲仲通りビル1～2F,#,False
御影蔵 ～丸ビル～,050-5486-2537,,東京都,千代田区丸ノ内,2-4-1,丸の内ビルディング6Ｆ,#,False
